sigma,sign,type,m,src,isValidation,id,answer,error,unsignedError,index
0.15,1,trig,0.4,data/Exp1/trig/scatter/S0.15m0.4.png,,2,0.4,0,0,46
0.2,1,line,0.2,data/Exp1/line/scatter/S0.2m0.2.png,,2,0.32,-0.12,0.12,47
0.1,1,line,0.1,data/Exp1/line/scatter/S0.1m0.1.png,,2,0,0.1,0.1,48
0.15,-1,line,0.4,data/Exp1/line/scatter/S0.15m-0.4.png,,2,-0.32,-0.08,0.08,49
0.05,-1,trig,0.1,data/Exp1/trig/scatter/S0.05m-0.1.png,,2,-0.13,0.03,0.03,50
0.1,1,quad,0.4,data/Exp1/quad/scatter/S0.1m0.4.png,,2,0.49,-0.09,0.09,51
0.1,1,trig,0.8,data/Exp1/trig/scatter/S0.1m0.8.png,,2,0.79,0.01,0.01,52
0.2,-1,quad,0.2,data/Exp1/quad/scatter/S0.2m-0.2.png,,2,-0.17,-0.03,0.03,53
0.2,-1,line,0.2,data/Exp1/line/scatter/S0.2m-0.2.png,,2,-0.15,-0.05,0.05,54
0.15,-1,line,0.8,data/Exp1/line/scatter/S0.15m-0.8.png,,2,-0.89,0.09,0.09,55
0.2,-1,quad,0.1,data/Exp1/quad/scatter/S0.2m-0.1.png,,2,-0.1,0,0,56
0.15,1,trig,0.8,data/Exp1/trig/scatter/S0.15m0.8.png,,2,0.82,-0.02,0.02,57
